Departamento,confirmado,recuperados,defunciones
ANTIOQUIA,1.0,0.0,0.0
Amazonas,2029.0,1067.0,72.0
Antioquia,1573.0,589.0,8.0
Arauca,2.0,1.0,0.0
Atlantico,6761.0,2173.0,239.0
Bogota,13329.0,5682.0,316.0
Bolivar,4221.0,1344.0,182.0
Boyaca,225.0,133.0,9.0
Caldas,175.0,117.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,36.0,31.0,0.0
Cauca,158.0,63.0,6.0
Cesar,449.0,71.0,11.0
Choco,472.0,91.0,11.0
Cordoba,226.0,66.0,11.0
Cundinamarca,1339.0,375.0,34.0
Guainia,6.0,0.0,0.0
Guaviare,1.0,0.0,0.0
Huila,259.0,222.0,9.0
La Guajira,109.0,44.0,5.0
Magdalena,780.0,380.0,46.0
Meta,991.0,927.0,10.0
Narino,1700.0,585.0,63.0
Putumayo,11.0,3.0,2.0
Quindío,121.0,95.0,4.0
Risaralda,278.0,233.0,10.0
San Andres y Providencia,17.0,15.0,0.0
Santander,312.0,156.0,19.0
Sucre,131.0,5.0,2.0
Tolima,293.0,200.0,10.0
Valle del Cauca,4677.0,1727.0,221.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
