Departamento,confirmado,recuperados,defunciones
Amazonas,2276.0,1914.0,89.0
Antioquia,4232.0,1606.0,25.0
Arauca,76.0,4.0,0.0
Atlantico,22777.0,7190.0,1107.0
Bogota,29320.0,12255.0,658.0
Bolivar,8949.0,4396.0,355.0
Boyaca,359.0,216.0,11.0
Caldas,258.0,173.0,7.0
Caqueta,35.0,22.0,1.0
Casanare,66.0,45.0,0.0
Cauca,359.0,147.0,15.0
Cesar,994.0,410.0,22.0
Choco,1452.0,470.0,44.0
Cordoba,744.0,212.0,42.0
Cundinamarca,2574.0,1332.0,55.0
Guainia,15.0,2.0,1.0
Guaviare,37.0,6.0,0.0
Huila,332.0,246.0,10.0
La Guajira,395.0,81.0,18.0
Magdalena,1774.0,747.0,114.0
Meta,1229.0,970.0,13.0
Narino,3307.0,1907.0,105.0
Norte de Santander,327.0,159.0,19.0
Putumayo,26.0,9.0,6.0
Quindio,161.0,115.0,4.0
Risaralda,511.0,275.0,12.0
San Andres y Providencia,24.0,17.0,0.0
Santander,690.0,189.0,13.0
Sucre,1153.0,115.0,61.0
Tolima,934.0,319.0,19.0
Valle del Cauca,9628.0,4391.0,397.0
Vaupes,28.0,13.0,0.0
Vichada,1.0,1.0,0.0
