Departamento,confirmado,recuperados,defunciones
Amazonas,2066.0,1156.0,73.0
Antioquia,1704.0,610.0,8.0
Arauca,2.0,1.0,0.0
Atlantico,7502.0,2289.0,294.0
Bogota,14132.0,6060.0,335.0
Bolivar,4484.0,1452.0,196.0
Boyaca,231.0,136.0,9.0
Caldas,185.0,119.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,36.0,31.0,0.0
Cauca,163.0,66.0,7.0
Cesar,496.0,71.0,11.0
Choco,556.0,95.0,11.0
Cordoba,235.0,68.0,13.0
Cundinamarca,1427.0,401.0,36.0
Guainia,7.0,0.0,1.0
Guaviare,2.0,0.0,0.0
Huila,259.0,225.0,9.0
La Guajira,113.0,44.0,7.0
Magdalena,819.0,409.0,49.0
Meta,1001.0,938.0,11.0
Narino,1989.0,616.0,67.0
Putumayo,11.0,3.0,2.0
Quindío,122.0,95.0,4.0
Risaralda,294.0,233.0,11.0
San Andres y Providencia,17.0,15.0,0.0
Santander,350.0,157.0,20.0
Sucre,166.0,5.0,3.0
Tolima,298.0,204.0,11.0
Valle del Cauca,4978.0,1802.0,237.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
