Departamento,confirmado,recuperados,defunciones
Amazonas,2111.0,1232.0,77.0
Antioquia,1884.0,765.0,8.0
Arauca,2.0,1.0,0.0
Atlantico,9077.0,2707.0,366.0
Bogota,15458.0,6742.0,365.0
Bolivar,4905.0,1613.0,204.0
Boyaca,241.0,150.0,9.0
Caldas,191.0,130.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,37.0,33.0,0.0
Cauca,178.0,73.0,8.0
Cesar,528.0,73.0,13.0
Choco,680.0,137.0,17.0
Cordoba,253.0,78.0,13.0
Cundinamarca,1657.0,491.0,40.0
Guainia,7.0,0.0,1.0
Guaviare,2.0,0.0,0.0
Huila,272.0,232.0,9.0
La Guajira,121.0,48.0,7.0
Magdalena,920.0,433.0,55.0
Meta,1011.0,939.0,11.0
Narino,2081.0,710.0,73.0
Putumayo,13.0,4.0,2.0
Quindío,125.0,100.0,4.0
Risaralda,315.0,234.0,11.0
San Andres y Providencia,18.0,17.0,0.0
Santander,378.0,164.0,22.0
Sucre,213.0,7.0,7.0
Tolima,382.0,208.0,11.0
Valle del Cauca,5633.0,2072.0,251.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
