Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2394.0,2104.0,98.0,192.0
Antioquia,7246.0,2451.0,61.0,4734.0
Arauca,121.0,8.0,0.0,113.0
Atlantico,29572.0,11080.0,1640.0,16852.0
Bogota,40737.0,15566.0,921.0,24250.0
Bolivar,11254.0,5869.0,427.0,4958.0
Boyaca,446.0,252.0,13.0,181.0
Caldas,279.0,205.0,7.0,67.0
Caqueta,82.0,23.0,1.0,58.0
Casanare,91.0,49.0,0.0,42.0
Cauca,623.0,189.0,22.0,412.0
Cesar,1359.0,687.0,32.0,640.0
Choco,2033.0,802.0,62.0,1169.0
Cordoba,1264.0,298.0,97.0,869.0
Cundinamarca,3417.0,1736.0,71.0,1610.0
Guainia,14.0,11.0,1.0,2.0
Guaviare,39.0,11.0,0.0,28.0
Huila,397.0,280.0,12.0,105.0
La Guajira,776.0,147.0,36.0,593.0
Magdalena,2342.0,910.0,167.0,1265.0
Meta,1405.0,1012.0,17.0,376.0
Narino,4120.0,2398.0,125.0,1597.0
Norte de Santander,419.0,203.0,21.0,195.0
Putumayo,39.0,9.0,8.0,22.0
Quindio,180.0,134.0,5.0,41.0
Risaralda,654.0,351.0,18.0,285.0
San Andres y Providencia,28.0,21.0,0.0,7.0
Santander,1105.0,299.0,20.0,786.0
Sucre,2139.0,285.0,121.0,1733.0
Tolima,1187.0,416.0,25.0,746.0
Valle del Cauca,12846.0,5807.0,498.0,6541.0
Vaupes,29.0,20.0,1.0,8.0
Vichada,1.0,1.0,0.0,0.0
