Departamento,confirmado
Bogota,4155.0
Valle del Cauca,1331.0
Antioquia,468.0
Bolivar,679.0
Huila,178.0
Meta,923.0
Risaralda,216.0
Santander,141.0
Caldas,100.0
Cundinamarca,283.0
Atlantico,970.0
Quindio,67.0
Tolima,130.0
Cauca,47.0
Magdalena,271.0
Cesar,72.0
San Andres y Providencia,6.0
Casanare,21.0
Narino,296.0
Boyaca,67.0
Cordoba,39.0
Sucre,4.0
La Guajira,27.0
Choco,28.0
Amazonas,527.0
Caqueta,16.0
Putumayo,1.0
