Departamento,confirmado
Bogota,2772.0
Valle del Cauca,1013.0
Antioquia,475.0
Bolivar,308.0
Huila,133.0
Meta,475.0
Risaralda,203.0
Santander,113.0
Caldas,69.0
Cundinamarca,234.0
Atlantico,363.0
Quindio,61.0
Tolima,87.0
Cauca,35.0
Magdalena,220.0
Cesar,55.0
San Andres y Providencia,6.0
Casanare,18.0
Narino,154.0
Boyaca,46.0
Cordoba,29.0
Sucre,1.0
La Guajira,9.0
Choco,13.0
Amazonas,105.0
Caqueta,9.0
