Departamento,confirmado
Bogota,3599.0
Valle del Cauca,1224.0
Antioquia,460.0
Bolivar,435.0
Huila,147.0
Meta,759.0
Risaralda,212.0
Santander,125.0
Caldas,94.0
Cundinamarca,266.0
Atlantico,760.0
Quindio,65.0
Tolima,98.0
Cauca,40.0
Magdalena,257.0
Cesar,70.0
San Andres y Providencia,6.0
Casanare,20.0
Narino,253.0
Boyaca,61.0
Cordoba,30.0
Sucre,1.0
La Guajira,14.0
Choco,27.0
Amazonas,418.0
Caqueta,15.0
