Departamento,confirmado,recuperados,defunciones
Amazonas,2220.0,0.0,0.0
Antioquia,3239.0,0.0,0.0
Arauca,76.0,0.0,0.0
Atlantico,17972.0,0.0,0.0
Bogota,23367.0,0.0,0.0
Bolivar,7473.0,0.0,0.0
Boyaca,328.0,0.0,0.0
Caldas,238.0,0.0,0.0
Caqueta,29.0,0.0,0.0
Casanare,61.0,0.0,0.0
Cauca,293.0,0.0,0.0
Cesar,784.0,0.0,0.0
Choco,1148.0,0.0,0.0
Cordoba,485.0,0.0,0.0
Cundinamarca,2182.0,0.0,0.0
Guainia,14.0,0.0,0.0
Guaviare,10.0,0.0,0.0
Huila,315.0,0.0,0.0
La Guajira,251.0,0.0,0.0
Magdalena,1390.0,0.0,0.0
Meta,1159.0,0.0,0.0
Narino,2814.0,0.0,0.0
Norte de Santander,271.0,0.0,0.0
Putumayo,19.0,0.0,0.0
Quindio,152.0,0.0,0.0
Risaralda,463.0,0.0,0.0
San Andres y Providencia,23.0,0.0,0.0
Santander,505.0,0.0,0.0
Sucre,733.0,0.0,0.0
Tolima,728.0,0.0,0.0
Valle del Cauca,8342.0,0.0,0.0
Vaupes,28.0,0.0,0.0
Vichada,1.0,0.0,0.0
