id_estado,confirmado,estado
25,1161.0,Sinaloa
15,4202.0,Mexico
27,1247.0,Tabasco
2,1808.0,Baja California
8,532.0,Chihuahua
23,922.0,Quintana Roo
14,447.0,Jalisco
9,6785.0,Ciudad de Mexico
32,110.0,Zacatecas
19,442.0,Nuevo Leon
12,366.0,Guerrero
5,476.0,Coahuila
30,803.0,Veracruz
31,608.0,Yucatan
21,842.0,Puebla
26,280.0,Sonora
22,165.0,Queretaro
16,375.0,Michoacan
17,501.0,Morelos
3,344.0,Baja California Sur
28,388.0,Tamaulipas
29,250.0,Tlaxcala
11,315.0,Guanajuato
7,231.0,Chiapas
13,334.0,Hidalgo
18,124.0,Nayarit
20,172.0,Oaxaca
10,80.0,Durango
24,157.0,San Luis Potosi
1,286.0,Aguascalientes
6,30.0,Colima
4,122.0,Campeche
