id_estado,confirmado,estado
15,3130.0,Mexico
28,315.0,Tamaulipas
9,5209.0,Ciudad de Mexico
31,448.0,Yucatan
16,313.0,Michoacan
12,281.0,Guerrero
30,575.0,Veracruz
27,984.0,Tabasco
14,347.0,Jalisco
2,1557.0,Baja California
1,205.0,Aguascalientes
17,324.0,Morelos
22,133.0,Queretaro
25,865.0,Sinaloa
19,334.0,Nuevo Leon
24,108.0,San Luis Potosi
21,639.0,Puebla
32,77.0,Zacatecas
13,261.0,Hidalgo
8,351.0,Chihuahua
10,66.0,Durango
3,308.0,Baja California Sur
23,788.0,Quintana Roo
26,215.0,Sonora
5,407.0,Coahuila
18,93.0,Nayarit
29,193.0,Tlaxcala
7,177.0,Chiapas
4,93.0,Campeche
20,138.0,Oaxaca
11,263.0,Guanajuato
6,27.0,Colima
