Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2508.0,2315.0,102.0,91.0
Antioquia,28845.0,8721.0,429.0,19695.0
Arauca,200.0,133.0,1.0,66.0
Atlantico,50732.0,35585.0,2475.0,12672.0
Bogota,95199.0,42179.0,2517.0,50503.0
Bolivar,17621.0,12690.0,571.0,4360.0
Boyaca,929.0,457.0,27.0,445.0
Caldas,793.0,283.0,10.0,500.0
Caqueta,816.0,128.0,16.0,672.0
Casanare,277.0,113.0,4.0,160.0
Cauca,1746.0,736.0,57.0,953.0
Cesar,2886.0,1482.0,61.0,1343.0
Choco,2931.0,2046.0,100.0,785.0
Cordoba,5032.0,1595.0,600.0,2837.0
Cundinamarca,7720.0,4076.0,198.0,3446.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,85.0,48.0,0.0,37.0
Huila,778.0,413.0,20.0,345.0
La Guajira,2020.0,1008.0,112.0,900.0
Magdalena,5806.0,3154.0,338.0,2314.0
Meta,2469.0,1669.0,30.0,770.0
Narino,7494.0,4118.0,235.0,3141.0
Norte de Santander,2031.0,514.0,87.0,1430.0
Putumayo,777.0,73.0,28.0,676.0
Quindio,303.0,203.0,8.0,92.0
Risaralda,1511.0,689.0,26.0,796.0
San Andres y Providencia,38.0,29.0,0.0,9.0
Santander,3289.0,1169.0,79.0,2041.0
Sucre,5742.0,2722.0,356.0,2664.0
Tolima,2286.0,1345.0,47.0,894.0
Valle del Cauca,23114.0,13019.0,918.0,9177.0
Vaupes,61.0,51.0,1.0,9.0
Vichada,2.0,1.0,0.0,1.0
