Departamento,confirmado,recuperados,defunciones
Amazonas,2033.0,1070.0,73.0
Antioquia,1648.0,591.0,8.0
Arauca,2.0,1.0,0.0
Atlantico,7096.0,2190.0,269.0
Bogota,13709.0,5720.0,325.0
Bolivar,4364.0,1364.0,187.0
Boyaca,227.0,133.0,9.0
Caldas,179.0,117.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,36.0,31.0,0.0
Cauca,160.0,63.0,7.0
Cesar,470.0,71.0,11.0
Choco,488.0,92.0,11.0
Cordoba,231.0,68.0,13.0
Cundinamarca,1390.0,379.0,36.0
Guainia,6.0,0.0,0.0
Guaviare,2.0,0.0,0.0
Huila,259.0,222.0,9.0
La Guajira,113.0,44.0,5.0
Magdalena,799.0,381.0,47.0
Meta,999.0,927.0,10.0
Narino,1794.0,586.0,65.0
Putumayo,11.0,3.0,2.0
Quindío,122.0,95.0,4.0
Risaralda,286.0,233.0,10.0
San Andres y Providencia,17.0,15.0,0.0
Santander,342.0,156.0,20.0
Sucre,143.0,5.0,2.0
Tolima,295.0,200.0,10.0
Valle del Cauca,4820.0,1745.0,231.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
