Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2510.0,2339.0,102.0,69.0
Antioquia,32759.0,10133.0,521.0,22105.0
Arauca,213.0,137.0,3.0,73.0
Atlantico,52313.0,37728.0,2526.0,12059.0
Bogota,101955.0,46107.0,2748.0,53100.0
Bolivar,18240.0,13343.0,590.0,4307.0
Boyaca,1030.0,496.0,28.0,506.0
Caldas,957.0,303.0,11.0,643.0
Caqueta,934.0,200.0,21.0,713.0
Casanare,306.0,121.0,4.0,181.0
Cauca,1896.0,809.0,63.0,1024.0
Cesar,3116.0,1565.0,64.0,1487.0
Choco,3000.0,2146.0,102.0,752.0
Cordoba,5538.0,1836.0,660.0,3042.0
Cundinamarca,8500.0,4423.0,210.0,3867.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,99.0,48.0,0.0,51.0
Huila,908.0,426.0,26.0,456.0
La Guajira,2108.0,1108.0,119.0,881.0
Magdalena,6138.0,3364.0,363.0,2411.0
Meta,2759.0,1763.0,36.0,960.0
Narino,7970.0,4498.0,255.0,3217.0
Norte de Santander,2342.0,590.0,104.0,1648.0
Putumayo,909.0,128.0,37.0,744.0
Quindio,348.0,208.0,8.0,132.0
Risaralda,1634.0,721.0,27.0,886.0
San Andres y Providencia,38.0,29.0,0.0,9.0
Santander,3749.0,1283.0,88.0,2378.0
Sucre,5928.0,3013.0,371.0,2544.0
Tolima,2574.0,1487.0,53.0,1034.0
Valle del Cauca,24660.0,13970.0,963.0,9727.0
Vaupes,61.0,51.0,1.0,9.0
Vichada,2.0,1.0,0.0,1.0
