Departamento,confirmado
Bogota,2245.0
Valle del Cauca,841.0
Antioquia,452.0
Bolivar,240.0
Huila,87.0
Meta,232.0
Risaralda,185.0
Santander,100.0
Caldas,54.0
Cundinamarca,203.0
Atlantico,176.0
Quindio,56.0
Tolima,42.0
Cauca,27.0
Magdalena,160.0
Cesar,53.0
San Andres y Providencia,6.0
Casanare,10.0
Narino,93.0
Boyaca,35.0
Cordoba,23.0
Sucre,1.0
La Guajira,5.0
Choco,11.0
Amazonas,40.0
Caqueta,2.0
