id_estado,estado,confirmado,defunciones
31,Yucatan,16815.0,1460.0
30,Veracruz,31305.0,4069.0
15,Mexico,74894.0,10969.0
25,Sinaloa,17482.0,2994.0
9,Ciudad de Mexico,113118.0,9063.0
23,Quintana Roo,11140.0,1549.0
21,Puebla,29380.0,3796.0
2,Baja California,18360.0,3369.0
27,Tabasco,30251.0,2665.0
26,Sonora,23350.0,2777.0
13,Hidalgo,11636.0,1775.0
12,Guerrero,16734.0,1832.0
8,Chihuahua,9087.0,1258.0
19,Nuevo Leon,34470.0,2690.0
20,Oaxaca,14980.0,1371.0
14,Jalisco,23565.0,2849.0
17,Morelos,5571.0,1042.0
6,Colima,4239.0,465.0
5,Coahuila,24335.0,1664.0
7,Chiapas,6401.0,1080.0
22,Queretaro,7784.0,836.0
28,Tamaulipas,27145.0,1955.0
29,Tlaxcala,7012.0,1056.0
11,Guanajuato,37196.0,2651.0
16,Michoacan,18031.0,1451.0
18,Nayarit,5525.0,679.0
10,Durango,7836.0,535.0
32,Zacatecas,6452.0,616.0
24,San Luis Potosi,21022.0,1443.0
4,Campeche,5820.0,782.0
3,Baja California Sur,9070.0,424.0
1,Aguascalientes,6481.0,513.0
