id_estado,confirmado,estado
28,708.0,Tamaulipas
15,5710.0,Mexico
25,1393.0,Sinaloa
27,1598.0,Tabasco
8,658.0,Chihuahua
9,9218.0,Ciudad de Mexico
17,775.0,Morelos
21,1060.0,Puebla
2,2365.0,Baja California
5,553.0,Coahuila
14,592.0,Jalisco
23,1071.0,Quintana Roo
19,607.0,Nuevo Leon
12,475.0,Guerrero
6,38.0,Colima
30,1155.0,Veracruz
31,791.0,Yucatan
26,476.0,Sonora
13,496.0,Hidalgo
16,555.0,Michoacan
18,211.0,Nayarit
29,353.0,Tlaxcala
22,218.0,Queretaro
3,379.0,Baja California Sur
11,443.0,Guanajuato
10,109.0,Durango
1,303.0,Aguascalientes
7,367.0,Chiapas
32,140.0,Zacatecas
24,237.0,San Luis Potosi
20,225.0,Oaxaca
4,181.0,Campeche
