Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2454.0,2265.0,101.0,88.0
Antioquia,14686.0,3865.0,182.0,10639.0
Arauca,161.0,81.0,0.0,80.0
Atlantico,43160.0,22240.0,2136.0,18784.0
Bogota,60394.0,23318.0,1486.0,35590.0
Bolivar,14754.0,8952.0,499.0,5303.0
Boyaca,624.0,317.0,20.0,287.0
Caldas,360.0,243.0,7.0,110.0
Caqueta,220.0,36.0,4.0,180.0
Casanare,148.0,69.0,1.0,78.0
Cauca,1055.0,319.0,34.0,702.0
Cesar,1893.0,1054.0,38.0,801.0
Choco,2471.0,1387.0,80.0,1004.0
Cordoba,2584.0,573.0,286.0,1725.0
Cundinamarca,5649.0,2495.0,121.0,3033.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,48.0,37.0,0.0,11.0
Huila,520.0,348.0,15.0,157.0
La Guajira,1420.0,386.0,74.0,960.0
Magdalena,3947.0,1512.0,238.0,2197.0
Meta,1895.0,1212.0,20.0,663.0
Narino,5194.0,3084.0,163.0,1947.0
Norte de Santander,790.0,280.0,35.0,475.0
Putumayo,199.0,15.0,11.0,173.0
Quindio,208.0,159.0,5.0,44.0
Risaralda,970.0,491.0,21.0,458.0
San Andres y Providencia,30.0,23.0,0.0,7.0
Santander,1863.0,625.0,39.0,1199.0
Sucre,3933.0,1035.0,209.0,2689.0
Tolima,1757.0,869.0,31.0,857.0
Valle del Cauca,17236.0,8506.0,658.0,8072.0
Vaupes,61.0,26.0,1.0,34.0
Vichada,2.0,1.0,0.0,1.0
