Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2728.0,2597.0,115.0,16.0
Antioquia,101806.0,85026.0,2165.0,14615.0
Arauca,1422.0,1072.0,33.0,317.0
Atlantico,66368.0,61584.0,3005.0,1779.0
Bogota,248694.0,204572.0,6370.0,37752.0
Bolivar,27875.0,25225.0,752.0,1898.0
Boyaca,5872.0,4219.0,114.0,1539.0
Caldas,4455.0,3137.0,102.0,1216.0
Caqueta,7536.0,6486.0,269.0,781.0
Casanare,1719.0,1180.0,40.0,499.0
Cauca,7976.0,6132.0,222.0,1622.0
Cesar,16852.0,12432.0,487.0,3933.0
Choco,3914.0,3633.0,153.0,128.0
Cordoba,22543.0,19270.0,1479.0,1794.0
Cundinamarca,30189.0,24857.0,893.0,4439.0
Guainia,509.0,233.0,10.0,266.0
Guaviare,600.0,382.0,11.0,207.0
Huila,9049.0,6089.0,268.0,2692.0
La Guajira,7106.0,5580.0,272.0,1254.0
Magdalena,14315.0,12028.0,784.0,1503.0
Meta,13780.0,11114.0,355.0,2311.0
Narino,17260.0,14079.0,633.0,2548.0
Norte de Santander,14269.0,11521.0,824.0,1924.0
Putumayo,3603.0,2982.0,160.0,461.0
Quindio,2430.0,1512.0,74.0,844.0
Risaralda,9254.0,6797.0,190.0,2267.0
San Andres y Providencia,706.0,322.0,9.0,375.0
Santander,26612.0,20057.0,1143.0,5412.0
Sucre,13444.0,11915.0,552.0,977.0
Tolima,10424.0,7947.0,275.0,2202.0
Valle del Cauca,56175.0,46879.0,2082.0,7214.0
Vaupes,646.0,449.0,5.0,192.0
Vichada,340.0,213.0,4.0,123.0
