Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2721.0,2587.0,113.0,21.0
Antioquia,93727.0,80563.0,2034.0,11130.0
Arauca,1196.0,987.0,26.0,183.0
Atlantico,65631.0,61026.0,2970.0,1635.0
Bogota,236313.0,187321.0,6086.0,42906.0
Bolivar,26786.0,24671.0,735.0,1380.0
Boyaca,5034.0,3813.0,100.0,1121.0
Caldas,3805.0,2747.0,83.0,975.0
Caqueta,7239.0,6161.0,249.0,829.0
Casanare,1432.0,1049.0,31.0,352.0
Cauca,7012.0,5513.0,203.0,1296.0
Cesar,14983.0,11013.0,412.0,3558.0
Choco,3853.0,3562.0,146.0,145.0
Cordoba,21892.0,18584.0,1439.0,1869.0
Cundinamarca,27775.0,23077.0,806.0,3892.0
Guainia,340.0,154.0,9.0,177.0
Guaviare,442.0,303.0,4.0,135.0
Huila,7386.0,5411.0,220.0,1755.0
La Guajira,6438.0,5190.0,257.0,991.0
Magdalena,13607.0,11612.0,753.0,1242.0
Meta,12098.0,9940.0,308.0,1850.0
Narino,15871.0,13506.0,599.0,1766.0
Norte de Santander,13429.0,10964.0,780.0,1685.0
Putumayo,3334.0,2863.0,145.0,326.0
Quindio,1863.0,1272.0,56.0,535.0
Risaralda,8062.0,6204.0,168.0,1690.0
San Andres y Providencia,431.0,232.0,6.0,193.0
Santander,23769.0,18124.0,1023.0,4622.0
Sucre,12985.0,11479.0,540.0,966.0
Tolima,9333.0,7262.0,233.0,1838.0
Valle del Cauca,52559.0,44982.0,1978.0,5599.0
Vaupes,519.0,353.0,2.0,164.0
Vichada,223.0,169.0,4.0,50.0
