Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2510.0,2333.0,102.0,75.0
Antioquia,30685.0,9248.0,478.0,20959.0
Arauca,202.0,136.0,3.0,63.0
Atlantico,51783.0,36901.0,2500.0,12382.0
Bogota,98209.0,44015.0,2658.0,51536.0
Bolivar,17906.0,13077.0,588.0,4241.0
Boyaca,982.0,478.0,27.0,477.0
Caldas,851.0,292.0,10.0,549.0
Caqueta,884.0,155.0,18.0,711.0
Casanare,298.0,119.0,4.0,175.0
Cauca,1819.0,779.0,60.0,980.0
Cesar,3001.0,1532.0,61.0,1408.0
Choco,2967.0,2094.0,102.0,771.0
Cordoba,5413.0,1732.0,631.0,3050.0
Cundinamarca,8253.0,4237.0,206.0,3810.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,86.0,48.0,0.0,38.0
Huila,890.0,419.0,20.0,451.0
La Guajira,2053.0,1091.0,115.0,847.0
Magdalena,6059.0,3248.0,350.0,2461.0
Meta,2632.0,1719.0,30.0,883.0
Narino,7770.0,4284.0,246.0,3240.0
Norte de Santander,2141.0,552.0,101.0,1488.0
Putumayo,851.0,84.0,28.0,739.0
Quindio,322.0,205.0,8.0,109.0
Risaralda,1574.0,705.0,27.0,842.0
San Andres y Providencia,38.0,29.0,0.0,9.0
Santander,3482.0,1220.0,84.0,2178.0
Sucre,5817.0,2924.0,363.0,2530.0
Tolima,2472.0,1450.0,47.0,975.0
Valle del Cauca,23993.0,13524.0,941.0,9528.0
Vaupes,61.0,51.0,1.0,9.0
Vichada,2.0,1.0,0.0,1.0
