estado,confirmado,poblacion
Aguascalientes,100,1434635
Baja California,985,3634868
Baja California Sur,240,804708
Campeche,49,1000617
Coahuila,284,3218720
Colima,15,785153
Chiapas,87,5730367
Chihuahua,174,3801487
Ciudad de Mexico,2815,9018645
Durango,33,1868996
Guanajuato,173,6228175
Guerrero,142,3657048
Hidalgo,125,3086414
Jalisco,235,8409693
Mexico,1593,17427790
Michoacan,145,4825401
Morelos,106,2044058
Nayarit,47,1288571
Nuevo Leon,211,5610153
Oaxaca,81,4143593
Puebla,388,6604451
Queretaro,90,2279637
Quintana Roo,432,1723259
San Luis Potosi,67,2866142
Sinaloa,568,3156674
Sonora,132,3074745
Tabasco,510,2572287
Tamaulipas,165,3650602
Tlaxcala,92,1380011
Veracruz,212,8539862
Yucatan,204,2259098
Zacatecas,44,1666426
