id_estado,confirmado,estado
15,2238.0,Mexico
28,216.0,Tamaulipas
9,3764.0,Ciudad de Mexico
31,302.0,Yucatan
16,193.0,Michoacan
12,177.0,Guerrero
4,63.0,Campeche
25,708.0,Sinaloa
22,109.0,Queretaro
23,550.0,Quintana Roo
19,271.0,Nuevo Leon
24,75.0,San Luis Potosi
21,483.0,Puebla
5,340.0,Coahuila
27,707.0,Tabasco
3,266.0,Baja California Sur
14,271.0,Jalisco
2,1197.0,Baja California
29,127.0,Tlaxcala
1,147.0,Aguascalientes
8,240.0,Chihuahua
30,319.0,Veracruz
17,169.0,Morelos
11,198.0,Guanajuato
10,42.0,Durango
26,149.0,Sonora
7,118.0,Chiapas
20,104.0,Oaxaca
13,165.0,Hidalgo
18,59.0,Nayarit
32,58.0,Zacatecas
6,17.0,Colima
