Departamento,confirmado
Bogota,2345.0
Valle del Cauca,847.0
Antioquia,461.0
Bolivar,244.0
Huila,92.0
Meta,248.0
Risaralda,185.0
Santander,101.0
Caldas,54.0
Cundinamarca,213.0
Atlantico,218.0
Quindio,59.0
Tolima,54.0
Cauca,31.0
Magdalena,163.0
Cesar,53.0
San Andres y Providencia,6.0
Casanare,10.0
Narino,96.0
Boyaca,35.0
Cordoba,23.0
Sucre,1.0
La Guajira,5.0
Choco,11.0
Amazonas,40.0
Caqueta,2.0
