Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2742.0,2615.0,117.0,10.0
Antioquia,114193.0,104346.0,2389.0,7458.0
Arauca,1718.0,1518.0,47.0,153.0
Atlantico,67492.0,63492.0,3066.0,934.0
Bogota,267170.0,235266.0,6772.0,25132.0
Bolivar,28810.0,27386.0,770.0,654.0
Boyaca,7232.0,5971.0,147.0,1114.0
Caldas,5865.0,4829.0,129.0,907.0
Caqueta,8476.0,7540.0,297.0,639.0
Casanare,2354.0,1804.0,48.0,502.0
Cauca,9404.0,8011.0,262.0,1131.0
Cesar,19793.0,16883.0,590.0,2320.0
Choco,3996.0,3754.0,155.0,87.0
Cordoba,23946.0,21270.0,1539.0,1137.0
Cundinamarca,33310.0,30001.0,990.0,2319.0
Guainia,869.0,694.0,12.0,163.0
Guaviare,798.0,667.0,16.0,115.0
Huila,11637.0,9750.0,361.0,1526.0
La Guajira,8105.0,7268.0,302.0,535.0
Magdalena,15324.0,13607.0,829.0,888.0
Meta,16111.0,14575.0,405.0,1131.0
Narino,18321.0,16401.0,682.0,1238.0
Norte de Santander,15690.0,13687.0,891.0,1112.0
Putumayo,3771.0,3304.0,170.0,297.0
Quindio,3582.0,2734.0,98.0,750.0
Risaralda,11139.0,9632.0,244.0,1263.0
San Andres y Providencia,1424.0,901.0,14.0,509.0
Santander,30976.0,26309.0,1305.0,3362.0
Sucre,14072.0,13044.0,577.0,451.0
Tolima,12312.0,10879.0,333.0,1100.0
Valle del Cauca,62118.0,54859.0,2257.0,5002.0
Vaupes,765.0,695.0,10.0,60.0
Vichada,527.0,462.0,4.0,61.0
