Departamento,confirmado,recuperados,defunciones
Amazonas,1388.0,47.0,50.0
Antioquia,677.0,367.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,2604.0,222.0,66.0
Bogota,6972.0,1778.0,203.0
Bolivar,2018.0,274.0,102.0
Boyaca,152.0,49.0,5.0
Caldas,127.0,71.0,5.0
Caqueta,21.0,5.0,1.0
Casanare,26.0,13.0,0.0
Cauca,73.0,34.0,4.0
Cesar,87.0,53.0,11.0
Choco,84.0,12.0,4.0
Cordoba,88.0,19.0,5.0
Cundinamarca,432.0,186.0,14.0
Huila,233.0,137.0,9.0
La Guajira,48.0,10.0,3.0
Magdalena,486.0,145.0,31.0
Meta,967.0,80.0,8.0
Narino,649.0,69.0,29.0
Putumayo,3.0,0.0,0.0
Quindío,88.0,61.0,2.0
Risaralda,241.0,191.0,8.0
San Andres y Providencia,21.0,8.0,0.0
Santander,177.0,114.0,14.0
Sucre,5.0,1.0,0.0
Tolima,186.0,81.0,7.0
Valle del Cauca,2312.0,691.0,118.0
Vaupes,11.0,0.0,0.0
