Departamento,confirmado,recuperados,defunciones
Amazonas,1898.0,758.0,65.0
Antioquia,1260.0,518.0,6.0
Arauca,1.0,1.0,0.0
Atlantico,4756.0,1234.0,131.0
Bogota,11250.0,4494.0,272.0
Bolivar,3571.0,841.0,161.0
Boyaca,214.0,108.0,8.0
Caldas,156.0,105.0,6.0
Caqueta,24.0,18.0,1.0
Casanare,35.0,26.0,0.0
Cauca,116.0,53.0,4.0
Cesar,348.0,63.0,11.0
Choco,295.0,47.0,9.0
Cordoba,163.0,56.0,7.0
Cundinamarca,1034.0,304.0,19.0
Guainia,6.0,0.0,0.0
Huila,252.0,196.0,9.0
La Guajira,65.0,31.0,3.0
Magdalena,706.0,275.0,42.0
Meta,983.0,922.0,9.0
Narino,1346.0,313.0,55.0
Putumayo,10.0,2.0,2.0
Quindío,119.0,78.0,3.0
Risaralda,262.0,225.0,9.0
San Andres y Providencia,17.0,15.0,0.0
Santander,248.0,146.0,17.0
Sucre,47.0,4.0,0.0
Tolima,274.0,149.0,7.0
Valle del Cauca,3886.0,1306.0,189.0
Vaupes,11.0,0.0,0.0
Vichada,1.0,0.0,0.0
