Departamento,confirmado,recuperados,defunciones
Amazonas,1385.0,47.0,48.0
Antioquia,587.0,363.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,2189.0,181.0,53.0
Bogota,6311.0,1663.0,189.0
Bolivar,1796.0,245.0,92.0
Boyaca,136.0,49.0,5.0
Caldas,126.0,69.0,5.0
Caqueta,21.0,5.0,1.0
Casanare,26.0,13.0,0.0
Cauca,67.0,31.0,4.0
Cesar,80.0,53.0,11.0
Choco,80.0,12.0,4.0
Cordoba,86.0,15.0,5.0
Cundinamarca,393.0,186.0,14.0
Huila,227.0,122.0,9.0
La Guajira,47.0,10.0,3.0
Magdalena,466.0,135.0,31.0
Meta,964.0,77.0,8.0
Narino,594.0,66.0,27.0
Putumayo,3.0,0.0,0.0
Quindío,84.0,61.0,2.0
Risaralda,239.0,185.0,8.0
San Andres y Providencia,21.0,5.0,0.0
Santander,166.0,112.0,14.0
Sucre,5.0,1.0,0.0
Tolima,177.0,79.0,7.0
Valle del Cauca,2042.0,646.0,106.0
Vaupes,11.0,0.0,0.0
