id_estado,confirmado,estado
5,501.0,Coahuila
24,204.0,San Luis Potosi
15,5077.0,Mexico
2,2176.0,Baja California
9,8129.0,Ciudad de Mexico
1,292.0,Aguascalientes
20,212.0,Oaxaca
23,999.0,Quintana Roo
10,97.0,Durango
22,193.0,Queretaro
25,1312.0,Sinaloa
17,656.0,Morelos
3,368.0,Baja California Sur
26,387.0,Sonora
11,388.0,Guanajuato
21,962.0,Puebla
6,35.0,Colima
8,617.0,Chihuahua
18,179.0,Nayarit
32,128.0,Zacatecas
16,473.0,Michoacan
7,291.0,Chiapas
27,1407.0,Tabasco
31,727.0,Yucatan
29,304.0,Tlaxcala
30,959.0,Veracruz
12,441.0,Guerrero
14,508.0,Jalisco
13,431.0,Hidalgo
19,566.0,Nuevo Leon
28,440.0,Tamaulipas
4,157.0,Campeche
