Departamento,confirmado,recuperados,defunciones
Amazonas,1900.0,803.0,68.0
Antioquia,1328.0,533.0,6.0
Arauca,2.0,1.0,0.0
Atlantico,5403.0,1379.0,143.0
Bogota,11782.0,4687.0,283.0
Bolivar,3715.0,954.0,165.0
Boyaca,220.0,112.0,8.0
Caldas,162.0,108.0,6.0
Caqueta,24.0,18.0,1.0
Casanare,36.0,26.0,0.0
Cauca,125.0,55.0,5.0
Cesar,395.0,63.0,11.0
Choco,335.0,47.0,9.0
Cordoba,172.0,57.0,8.0
Cundinamarca,1091.0,308.0,24.0
Guainia,6.0,0.0,0.0
Huila,252.0,198.0,9.0
La Guajira,68.0,32.0,3.0
Magdalena,718.0,293.0,43.0
Meta,985.0,923.0,9.0
Narino,1383.0,319.0,55.0
Putumayo,10.0,3.0,2.0
Quindío,119.0,79.0,3.0
Risaralda,265.0,225.0,9.0
San Andres y Providencia,17.0,15.0,0.0
Santander,249.0,147.0,17.0
Sucre,74.0,5.0,0.0
Tolima,276.0,151.0,7.0
Valle del Cauca,3996.0,1369.0,193.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
