id_estado,confirmado,estado
15,2863.0,Mexico
28,308.0,Tamaulipas
9,4782.0,Ciudad de Mexico
31,404.0,Yucatan
16,278.0,Michoacan
12,268.0,Guerrero
30,514.0,Veracruz
1,185.0,Aguascalientes
23,711.0,Quintana Roo
8,325.0,Chihuahua
14,326.0,Jalisco
27,941.0,Tabasco
25,821.0,Sinaloa
2,1495.0,Baja California
5,369.0,Coahuila
3,301.0,Baja California Sur
10,58.0,Durango
29,179.0,Tlaxcala
22,128.0,Queretaro
26,202.0,Sonora
17,278.0,Morelos
7,165.0,Chiapas
19,313.0,Nuevo Leon
11,239.0,Guanajuato
24,98.0,San Luis Potosi
21,621.0,Puebla
20,130.0,Oaxaca
18,72.0,Nayarit
4,87.0,Campeche
13,242.0,Hidalgo
32,70.0,Zacatecas
6,26.0,Colima
