id_estado,estado,confirmado,defunciones
31,Yucatan,12157.0,1091.0
15,Mexico,59805.0,9047.0
21,Puebla,23599.0,2945.0
27,Tabasco,25186.0,2242.0
30,Veracruz,24924.0,3266.0
2,Baja California,14993.0,2886.0
9,Ciudad de Mexico,83683.0,7755.0
28,Tamaulipas,20281.0,1425.0
25,Sinaloa,14217.0,2509.0
1,Aguascalientes,4666.0,305.0
12,Guerrero,12883.0,1527.0
5,Coahuila,16858.0,1038.0
19,Nuevo Leon,23058.0,1658.0
11,Guanajuato,25523.0,1345.0
13,Hidalgo,8307.0,1247.0
8,Chihuahua,6342.0,1008.0
14,Jalisco,15934.0,1930.0
26,Sonora,19625.0,2351.0
23,Quintana Roo,9054.0,1186.0
10,Durango,5048.0,368.0
17,Morelos,4541.0,888.0
32,Zacatecas,3856.0,358.0
18,Nayarit,4139.0,474.0
29,Tlaxcala,5470.0,842.0
4,Campeche,5083.0,646.0
3,Baja California Sur,5954.0,242.0
16,Michoacan,11827.0,944.0
22,Queretaro,4660.0,537.0
7,Chiapas,6016.0,1027.0
6,Colima,2524.0,281.0
20,Oaxaca,12059.0,1122.0
24,San Luis Potosi,13479.0,803.0
