Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2744.0,2615.0,117.0,12.0
Antioquia,115112.0,106276.0,2399.0,6437.0
Arauca,1725.0,1534.0,50.0,141.0
Atlantico,67551.0,63682.0,3072.0,797.0
Bogota,269201.0,236897.0,6783.0,25521.0
Bolivar,28875.0,27575.0,777.0,523.0
Boyaca,7351.0,6165.0,150.0,1036.0
Caldas,5947.0,4984.0,131.0,832.0
Caqueta,8488.0,7605.0,304.0,579.0
Casanare,2438.0,1859.0,48.0,531.0
Cauca,9492.0,8189.0,263.0,1040.0
Cesar,20010.0,17277.0,599.0,2134.0
Choco,3997.0,3767.0,156.0,74.0
Cordoba,23953.0,21397.0,1538.0,1018.0
Cundinamarca,33478.0,30436.0,997.0,2045.0
Guainia,874.0,792.0,13.0,69.0
Guaviare,805.0,688.0,17.0,100.0
Huila,11738.0,10149.0,370.0,1219.0
La Guajira,8136.0,7373.0,307.0,456.0
Magdalena,15335.0,13791.0,836.0,708.0
Meta,16220.0,14846.0,416.0,958.0
Narino,18420.0,16550.0,683.0,1187.0
Norte de Santander,15792.0,14001.0,902.0,889.0
Putumayo,3790.0,3322.0,176.0,292.0
Quindio,3746.0,2929.0,99.0,718.0
Risaralda,11235.0,9820.0,247.0,1168.0
San Andres y Providencia,1478.0,998.0,15.0,465.0
Santander,31278.0,26919.0,1316.0,3043.0
Sucre,14081.0,13100.0,582.0,399.0
Tolima,12389.0,11102.0,339.0,948.0
Valle del Cauca,62702.0,55791.0,2282.0,4629.0
Vaupes,769.0,724.0,10.0,35.0
Vichada,529.0,500.0,4.0,25.0
