Departamento,confirmado,recuperados,defunciones
Amazonas,2131.0,1309.0,78.0
Antioquia,2147.0,782.0,9.0
Arauca,45.0,2.0,0.0
Atlantico,10882.0,2792.0,419.0
Bogota,16404.0,6885.0,393.0
Bolivar,5256.0,1685.0,217.0
Boyaca,251.0,158.0,9.0
Caldas,200.0,130.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,38.0,33.0,0.0
Cauca,189.0,73.0,8.0
Cesar,554.0,86.0,16.0
Choco,715.0,139.0,20.0
Cordoba,279.0,81.0,16.0
Cundinamarca,1715.0,521.0,42.0
Guainia,7.0,0.0,1.0
Guaviare,5.0,0.0,0.0
Huila,276.0,233.0,9.0
La Guajira,138.0,51.0,7.0
Magdalena,973.0,445.0,64.0
Meta,1025.0,940.0,11.0
Narino,2171.0,725.0,76.0
Putumayo,13.0,5.0,3.0
Quindío,128.0,100.0,4.0
Risaralda,323.0,235.0,11.0
San Andres y Providencia,19.0,17.0,0.0
Santander,415.0,164.0,22.0
Sucre,240.0,10.0,10.0
Tolima,394.0,208.0,13.0
Valle del Cauca,6077.0,2110.0,260.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
