id_estado,estado,confirmado,defunciones
13,Hidalgo,12329.0,1871.0
11,Guanajuato,39524.0,2826.0
15,Mexico,78909.0,11514.0
24,San Luis Potosi,22193.0,1626.0
2,Baja California,18822.0,3497.0
30,Veracruz,32392.0,4234.0
21,Puebla,30548.0,3940.0
12,Guerrero,18031.0,1895.0
26,Sonora,24148.0,2840.0
9,Ciudad de Mexico,121087.0,9421.0
29,Tlaxcala,7448.0,1082.0
19,Nuevo Leon,37132.0,2914.0
27,Tabasco,31255.0,2732.0
25,Sinaloa,18197.0,3107.0
3,Baja California Sur,9809.0,447.0
31,Yucatan,17683.0,1527.0
23,Quintana Roo,11555.0,1622.0
14,Jalisco,25485.0,3158.0
4,Campeche,5905.0,805.0
20,Oaxaca,16157.0,1420.0
1,Aguascalientes,6874.0,579.0
22,Queretaro,8552.0,902.0
5,Coahuila,25408.0,1799.0
10,Durango,8400.0,590.0
16,Michoacan,19431.0,1591.0
7,Chiapas,6494.0,1085.0
28,Tamaulipas,28256.0,2120.0
8,Chihuahua,10212.0,1323.0
18,Nayarit,5813.0,724.0
6,Colima,4599.0,508.0
17,Morelos,5815.0,1064.0
32,Zacatecas,6994.0,676.0
