id_estado,estado,confirmado,defunciones
7,Chiapas,6531.0,1090.0
17,Morelos,5877.0,1090.0
20,Oaxaca,16669.0,1431.0
28,Tamaulipas,28713.0,2175.0
27,Tabasco,31691.0,2755.0
30,Veracruz,33109.0,4293.0
13,Hidalgo,12604.0,1918.0
15,Mexico,80077.0,11680.0
9,Ciudad de Mexico,124314.0,9570.0
25,Sinaloa,18518.0,3150.0
2,Baja California,19207.0,3529.0
26,Sonora,24418.0,2853.0
31,Yucatan,18149.0,1554.0
19,Nuevo Leon,39220.0,2959.0
12,Guerrero,18655.0,1926.0
24,San Luis Potosi,22910.0,1664.0
23,Quintana Roo,11759.0,1640.0
4,Campeche,5949.0,808.0
14,Jalisco,26503.0,3229.0
8,Chihuahua,10746.0,1358.0
21,Puebla,31005.0,3971.0
5,Coahuila,26023.0,1841.0
16,Michoacan,20132.0,1624.0
1,Aguascalientes,7096.0,602.0
11,Guanajuato,40506.0,2880.0
22,Queretaro,8907.0,922.0
18,Nayarit,5948.0,729.0
10,Durango,8747.0,603.0
3,Baja California Sur,10137.0,453.0
29,Tlaxcala,7513.0,1088.0
6,Colima,4810.0,523.0
32,Zacatecas,7274.0,695.0
