estado,confirmado,poblacion
Aguascalientes,106,1434635
Baja California,1075,3634868
Baja California Sur,241,804708
Campeche,49,1000617
Coahuila,295,3218720
Colima,16,785153
Chiapas,99,5730367
Chihuahua,193,3801487
Ciudad de Mexico,3157,9018645
Durango,38,1868996
Guanajuato,183,6228175
Guerrero,163,3657048
Hidalgo,128,3086414
Jalisco,254,8409693
Mexico,1734,17427790
Michoacan,166,4825401
Morelos,123,2044058
Nayarit,54,1288571
Nuevo Leon,249,5610153
Oaxaca,87,4143593
Puebla,414,6604451
Queretaro,93,2279637
Quintana Roo,468,1723259
San Luis Potosi,72,2866142
Sinaloa,614,3156674
Sonora,139,3074745
Tabasco,596,2572287
Tamaulipas,190,3650602
Tlaxcala,101,1380011
Veracruz,250,8539862
Yucatan,238,2259098
Zacatecas,48,1666426
