id_estado,confirmado,estado
18,63.0,Nayarit
1,148.0,Aguascalientes
2,1271.0,Baja California
8,258.0,Chihuahua
9,3966.0,Ciudad de Mexico
19,276.0,Nuevo Leon
24,78.0,San Luis Potosi
15,2355.0,Mexico
21,511.0,Puebla
23,604.0,Quintana Roo
28,261.0,Tamaulipas
31,323.0,Yucatan
16,204.0,Michoacan
12,200.0,Guerrero
10,44.0,Durango
26,167.0,Sonora
25,747.0,Sinaloa
27,728.0,Tabasco
3,284.0,Baja California Sur
11,206.0,Guanajuato
5,348.0,Coahuila
22,111.0,Queretaro
14,282.0,Jalisco
30,354.0,Veracruz
7,122.0,Chiapas
13,182.0,Hidalgo
17,190.0,Morelos
29,134.0,Tlaxcala
4,69.0,Campeche
20,106.0,Oaxaca
32,66.0,Zacatecas
6,19.0,Colima
