Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2411.0,2167.0,100.0,144.0
Antioquia,8744.0,2795.0,84.0,5865.0
Arauca,141.0,26.0,0.0,115.0
Atlantico,32635.0,13652.0,1799.0,17184.0
Bogota,47524.0,17323.0,1065.0,29136.0
Bolivar,11913.0,6594.0,440.0,4879.0
Boyaca,484.0,276.0,14.0,194.0
Caldas,296.0,215.0,7.0,74.0
Caqueta,97.0,23.0,2.0,72.0
Casanare,116.0,56.0,1.0,59.0
Cauca,730.0,215.0,23.0,492.0
Cesar,1433.0,796.0,34.0,603.0
Choco,2176.0,964.0,66.0,1146.0
Cordoba,1526.0,338.0,162.0,1026.0
Cundinamarca,4052.0,1947.0,92.0,2013.0
Guainia,14.0,11.0,1.0,2.0
Guaviare,42.0,32.0,0.0,10.0
Huila,418.0,293.0,13.0,112.0
La Guajira,884.0,180.0,48.0,656.0
Magdalena,2785.0,1051.0,200.0,1534.0
Meta,1548.0,1068.0,17.0,463.0
Narino,4457.0,2638.0,138.0,1681.0
Norte de Santander,552.0,215.0,25.0,312.0
Putumayo,88.0,11.0,8.0,69.0
Quindio,193.0,142.0,5.0,46.0
Risaralda,722.0,377.0,20.0,325.0
San Andres y Providencia,28.0,21.0,0.0,7.0
Santander,1261.0,351.0,24.0,886.0
Sucre,2419.0,387.0,150.0,1882.0
Tolima,1435.0,518.0,25.0,892.0
Valle del Cauca,14207.0,6482.0,555.0,7170.0
Vaupes,29.0,21.0,1.0,7.0
Vichada,1.0,1.0,0.0,0.0
