Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2299.0,1946.0,89.0,264.0
Antioquia,4442.0,1749.0,26.0,2667.0
Arauca,76.0,4.0,0.0,72.0
Atlantico,23360.0,7752.0,1151.0,14457.0
Bogota,30017.0,12756.0,680.0,16581.0
Bolivar,9116.0,4530.0,365.0,4221.0
Boyaca,375.0,224.0,11.0,140.0
Caldas,260.0,180.0,7.0,73.0
Caqueta,35.0,22.0,1.0,12.0
Casanare,66.0,45.0,0.0,21.0
Cauca,376.0,157.0,16.0,203.0
Cesar,1027.0,458.0,24.0,545.0
Choco,1544.0,547.0,46.0,951.0
Cordoba,786.0,229.0,49.0,508.0
Cundinamarca,2709.0,1408.0,56.0,1245.0
Guainia,15.0,2.0,1.0,12.0
Guaviare,38.0,6.0,0.0,32.0
Huila,341.0,252.0,10.0,79.0
La Guajira,440.0,83.0,19.0,338.0
Magdalena,1854.0,778.0,119.0,957.0
Meta,1250.0,971.0,15.0,264.0
Narino,3443.0,2061.0,107.0,1275.0
Norte de Santander,334.0,159.0,19.0,156.0
Putumayo,28.0,9.0,6.0,13.0
Quindio,167.0,117.0,4.0,46.0
Risaralda,511.0,282.0,13.0,216.0
San Andres y Providencia,23.0,18.0,0.0,5.0
Santander,713.0,199.0,13.0,501.0
Sucre,1255.0,123.0,65.0,1067.0
Tolima,943.0,327.0,19.0,597.0
Valle del Cauca,9974.0,4665.0,403.0,4906.0
Vaupes,28.0,13.0,0.0,15.0
Vichada,1.0,1.0,0.0,0.0
