id_estado,estado,confirmado,defunciones
15,Mexico,59174.0,8980.0
2,Baja California,14881.0,2874.0
27,Tabasco,24954.0,2227.0
25,Sinaloa,14174.0,2499.0
31,Yucatan,12001.0,1078.0
21,Puebla,23311.0,2889.0
9,Ciudad de Mexico,82510.0,7713.0
1,Aguascalientes,4624.0,301.0
13,Hidalgo,8148.0,1222.0
12,Guerrero,12756.0,1524.0
10,Durango,4970.0,366.0
17,Morelos,4488.0,884.0
23,Quintana Roo,8952.0,1166.0
26,Sonora,19531.0,2332.0
18,Nayarit,4094.0,470.0
6,Colima,2475.0,276.0
30,Veracruz,24687.0,3197.0
5,Coahuila,16576.0,1000.0
28,Tamaulipas,18929.0,1390.0
3,Baja California Sur,5799.0,229.0
14,Jalisco,15852.0,1895.0
22,Queretaro,4548.0,534.0
11,Guanajuato,25244.0,1338.0
8,Chihuahua,6277.0,1001.0
7,Chiapas,5990.0,1024.0
19,Nuevo Leon,22577.0,1621.0
16,Michoacan,11684.0,921.0
29,Tlaxcala,5311.0,826.0
32,Zacatecas,3673.0,348.0
4,Campeche,5062.0,637.0
20,Oaxaca,11975.0,1113.0
24,San Luis Potosi,13153.0,791.0
