Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2458.0,2276.0,101.0,81.0
Antioquia,16840.0,4571.0,203.0,12066.0
Arauca,171.0,85.0,0.0,86.0
Atlantico,44704.0,25686.0,2208.0,16810.0
Bogota,65594.0,25614.0,1627.0,38353.0
Bolivar,15208.0,9792.0,506.0,4910.0
Boyaca,650.0,335.0,21.0,294.0
Caldas,397.0,246.0,7.0,144.0
Caqueta,393.0,40.0,7.0,346.0
Casanare,173.0,82.0,2.0,89.0
Cauca,1136.0,389.0,36.0,711.0
Cesar,2115.0,1137.0,39.0,939.0
Choco,2530.0,1534.0,82.0,914.0
Cordoba,2857.0,711.0,314.0,1832.0
Cundinamarca,6037.0,2803.0,138.0,3096.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,50.0,39.0,0.0,11.0
Huila,559.0,360.0,15.0,184.0
La Guajira,1578.0,490.0,81.0,1007.0
Magdalena,4348.0,1821.0,271.0,2256.0
Meta,1975.0,1331.0,21.0,623.0
Narino,5651.0,3227.0,172.0,2252.0
Norte de Santander,884.0,300.0,37.0,547.0
Putumayo,292.0,16.0,17.0,259.0
Quindio,215.0,166.0,6.0,43.0
Risaralda,1005.0,525.0,21.0,459.0
San Andres y Providencia,30.0,23.0,0.0,7.0
Santander,1998.0,682.0,48.0,1268.0
Sucre,4346.0,1363.0,239.0,2744.0
Tolima,1820.0,915.0,33.0,872.0
Valle del Cauca,17914.0,9203.0,675.0,8036.0
Vaupes,61.0,28.0,1.0,32.0
Vichada,2.0,1.0,0.0,1.0
