id_estado,estado,confirmado,defunciones
30,Veracruz,5913.0,934.0
23,Quintana Roo,2329.0,455.0
9,Ciudad de Mexico,34077.0,3507.0
15,Mexico,21631.0,2607.0
12,Guerrero,3018.0,509.0
27,Tabasco,6093.0,710.0
31,Yucatan,2340.0,230.0
18,Nayarit,907.0,103.0
4,Campeche,904.0,107.0
19,Nuevo Leon,2222.0,154.0
14,Jalisco,3511.0,301.0
8,Chihuahua,2103.0,432.0
2,Baja California,6620.0,1402.0
21,Puebla,4988.0,677.0
25,Sinaloa,5191.0,829.0
16,Michoacan,3176.0,262.0
1,Aguascalientes,1320.0,64.0
17,Morelos,1758.0,327.0
11,Guanajuato,3053.0,172.0
13,Hidalgo,2518.0,408.0
5,Coahuila,1846.0,115.0
28,Tamaulipas,2582.0,168.0
26,Sonora,3548.0,258.0
22,Queretaro,1346.0,156.0
10,Durango,775.0,59.0
7,Chiapas,2959.0,265.0
6,Colima,252.0,33.0
29,Tlaxcala,1554.0,218.0
3,Baja California Sur,918.0,49.0
20,Oaxaca,2537.0,292.0
32,Zacatecas,461.0,56.0
24,San Luis Potosi,1524.0,85.0
