Departamento,confirmado,recuperados,defunciones
Amazonas,1799.0,141.0,60.0
Antioquia,1024.0,449.0,6.0
Arauca,1.0,0.0,0.0
Atlantico,3424.0,451.0,82.0
Bogota,9162.0,2918.0,239.0
Bolivar,2845.0,432.0,137.0
Boyaca,190.0,71.0,7.0
Caldas,135.0,87.0,6.0
Caqueta,24.0,7.0,1.0
Casanare,34.0,23.0,0.0
Cauca,91.0,43.0,4.0
Cesar,163.0,59.0,11.0
Choco,196.0,18.0,4.0
Cordoba,110.0,27.0,6.0
Cundinamarca,765.0,225.0,14.0
Guainia,6.0,0.0,0.0
Huila,247.0,160.0,9.0
La Guajira,57.0,18.0,3.0
Magdalena,568.0,173.0,37.0
Meta,974.0,101.0,8.0
Narino,946.0,116.0,37.0
Putumayo,8.0,0.0,1.0
Quindío,107.0,74.0,2.0
Risaralda,251.0,206.0,8.0
San Andres y Providencia,17.0,11.0,0.0
Santander,187.0,123.0,15.0
Sucre,15.0,3.0,0.0
Tolima,247.0,122.0,7.0
Valle del Cauca,3083.0,855.0,149.0
Vaupes,11.0,0.0,0.0
Vichada,1.0,0.0,0.0
