Departamento,confirmado
Bogota,3084.0
Valle del Cauca,1097.0
Antioquia,448.0
Bolivar,373.0
Huila,134.0
Meta,565.0
Risaralda,211.0
Santander,124.0
Caldas,79.0
Cundinamarca,248.0
Atlantico,530.0
Quindio,60.0
Tolima,94.0
Cauca,36.0
Magdalena,242.0
Cesar,62.0
San Andres y Providencia,6.0
Casanare,20.0
Narino,201.0
Boyaca,58.0
Cordoba,29.0
Sucre,1.0
La Guajira,10.0
Choco,23.0
Amazonas,229.0
Caqueta,9.0
