id_estado,confirmado,estado
25,1372.0,Sinaloa
15,5418.0,Mexico
27,1531.0,Tabasco
2,2276.0,Baja California
9,8705.0,Ciudad de Mexico
16,504.0,Michoacan
5,537.0,Coahuila
23,1032.0,Quintana Roo
21,1017.0,Puebla
14,554.0,Jalisco
10,107.0,Durango
17,713.0,Morelos
31,753.0,Yucatan
12,450.0,Guerrero
28,442.0,Tamaulipas
30,1049.0,Veracruz
26,415.0,Sonora
29,324.0,Tlaxcala
20,217.0,Oaxaca
6,38.0,Colima
11,414.0,Guanajuato
8,632.0,Chihuahua
18,206.0,Nayarit
13,475.0,Hidalgo
19,601.0,Nuevo Leon
3,373.0,Baja California Sur
7,330.0,Chiapas
24,227.0,San Luis Potosi
32,135.0,Zacatecas
22,208.0,Queretaro
1,301.0,Aguascalientes
4,166.0,Campeche
