Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2669.0,2437.0,107.0,125.0
Antioquia,64679.0,39880.0,1226.0,23573.0
Arauca,678.0,319.0,11.0,348.0
Atlantico,61571.0,51656.0,2783.0,7132.0
Bogota,171312.0,101852.0,4494.0,64966.0
Bolivar,22244.0,18442.0,648.0,3154.0
Boyaca,2369.0,1090.0,55.0,1224.0
Caldas,1737.0,921.0,27.0,789.0
Caqueta,4129.0,1791.0,120.0,2218.0
Casanare,691.0,327.0,14.0,350.0
Cauca,3435.0,1986.0,123.0,1326.0
Cesar,6060.0,3308.0,136.0,2616.0
Choco,3524.0,2876.0,124.0,524.0
Cordoba,15181.0,7504.0,972.0,6705.0
Cundinamarca,16290.0,9595.0,451.0,6244.0
Guainia,20.0,13.0,2.0,5.0
Guaviare,198.0,127.0,0.0,71.0
Huila,2845.0,1137.0,72.0,1636.0
La Guajira,3751.0,2282.0,178.0,1291.0
Magdalena,10549.0,6698.0,529.0,3322.0
Meta,5653.0,3269.0,108.0,2276.0
Narino,11763.0,7894.0,421.0,3448.0
Norte de Santander,7293.0,3579.0,415.0,3299.0
Putumayo,2181.0,1047.0,99.0,1035.0
Quindio,697.0,368.0,18.0,311.0
Risaralda,3720.0,1743.0,67.0,1910.0
San Andres y Providencia,100.0,41.0,0.0,59.0
Santander,10702.0,4487.0,437.0,5778.0
Sucre,9015.0,6174.0,424.0,2417.0
Tolima,4878.0,2727.0,112.0,2039.0
Valle del Cauca,39020.0,26686.0,1445.0,10889.0
Vaupes,154.0,62.0,1.0,91.0
Vichada,14.0,5.0,0.0,9.0
