id_estado,confirmado,defunciones,estado
9,10529.0,769.0,Ciudad de Mexico
2,2576.0,439.0,Baja California
15,6540.0,557.0,Mexico
27,1876.0,244.0,Tabasco
25,1579.0,229.0,Sinaloa
14,670.0,57.0,Jalisco
32,160.0,20.0,Zacatecas
3,401.0,24.0,Baja California Sur
5,584.0,53.0,Coahuila
19,687.0,35.0,Nuevo Leon
23,1144.0,211.0,Quintana Roo
21,1172.0,165.0,Puebla
28,788.0,46.0,Tamaulipas
1,382.0,13.0,Aguascalientes
26,567.0,37.0,Sonora
31,883.0,53.0,Yucatan
24,308.0,16.0,San Luis Potosi
8,730.0,146.0,Chihuahua
12,618.0,80.0,Guerrero
30,1497.0,155.0,Veracruz
17,874.0,127.0,Morelos
7,433.0,25.0,Chiapas
22,273.0,23.0,Queretaro
11,544.0,53.0,Guanajuato
13,603.0,93.0,Hidalgo
29,398.0,66.0,Tlaxcala
16,610.0,67.0,Michoacan
18,247.0,23.0,Nayarit
6,46.0,7.0,Colima
10,123.0,13.0,Durango
20,271.0,52.0,Oaxaca
4,211.0,28.0,Campeche
