Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2406.0,2159.0,100.0,147.0
Antioquia,8451.0,2671.0,71.0,5709.0
Arauca,141.0,19.0,0.0,122.0
Atlantico,31882.0,12904.0,1756.0,17222.0
Bogota,45039.0,16755.0,1007.0,27277.0
Bolivar,11733.0,6358.0,432.0,4943.0
Boyaca,479.0,271.0,14.0,194.0
Caldas,296.0,214.0,7.0,75.0
Caqueta,86.0,23.0,2.0,61.0
Casanare,112.0,51.0,1.0,60.0
Cauca,710.0,206.0,23.0,481.0
Cesar,1418.0,784.0,33.0,601.0
Choco,2126.0,896.0,65.0,1165.0
Cordoba,1509.0,326.0,148.0,1035.0
Cundinamarca,3959.0,1866.0,81.0,2012.0
Guainia,14.0,11.0,1.0,2.0
Guaviare,42.0,21.0,0.0,21.0
Huila,416.0,290.0,13.0,113.0
La Guajira,844.0,174.0,44.0,626.0
Magdalena,2655.0,986.0,196.0,1473.0
Meta,1515.0,1035.0,17.0,463.0
Narino,4418.0,2535.0,132.0,1751.0
Norte de Santander,511.0,212.0,25.0,274.0
Putumayo,49.0,10.0,8.0,31.0
Quindio,194.0,139.0,5.0,50.0
Risaralda,716.0,366.0,20.0,330.0
San Andres y Providencia,28.0,21.0,0.0,7.0
Santander,1244.0,340.0,24.0,880.0
Sucre,2376.0,367.0,142.0,1867.0
Tolima,1424.0,511.0,25.0,888.0
Valle del Cauca,13953.0,6257.0,532.0,7164.0
Vaupes,29.0,21.0,1.0,7.0
Vichada,1.0,1.0,0.0,0.0
