Departamento,confirmado
Bogota,3272.0
Valle del Cauca,1135.0
Antioquia,451.0
Bolivar,405.0
Huila,137.0
Meta,717.0
Risaralda,211.0
Santander,125.0
Caldas,91.0
Cundinamarca,259.0
Atlantico,641.0
Quindio,63.0
Tolima,94.0
Cauca,40.0
Magdalena,256.0
Cesar,70.0
San Andres y Providencia,6.0
Casanare,20.0
Narino,247.0
Boyaca,60.0
Cordoba,29.0
Sucre,1.0
La Guajira,14.0
Choco,24.0
Amazonas,230.0
Caqueta,15.0
