Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2644.0,2391.0,105.0,148.0
Antioquia,57360.0,27747.0,1023.0,28590.0
Arauca,550.0,202.0,9.0,339.0
Atlantico,59797.0,47530.0,2734.0,9533.0
Bogota,149944.0,80857.0,4096.0,64991.0
Bolivar,21090.0,16868.0,637.0,3585.0
Boyaca,1861.0,792.0,46.0,1023.0
Caldas,1485.0,570.0,22.0,893.0
Caqueta,3068.0,1009.0,84.0,1975.0
Casanare,573.0,222.0,9.0,342.0
Cauca,3013.0,1533.0,105.0,1375.0
Cesar,5123.0,2475.0,106.0,2542.0
Choco,3429.0,2680.0,121.0,628.0
Cordoba,12200.0,5446.0,909.0,5845.0
Cundinamarca,13483.0,7492.0,378.0,5613.0
Guainia,20.0,13.0,1.0,6.0
Guaviare,176.0,70.0,0.0,106.0
Huila,2130.0,728.0,56.0,1346.0
La Guajira,3150.0,1922.0,159.0,1069.0
Magdalena,9443.0,5410.0,466.0,3567.0
Meta,4688.0,2530.0,76.0,2082.0
Narino,10785.0,6515.0,373.0,3897.0
Norte de Santander,5899.0,2379.0,328.0,3192.0
Putumayo,1700.0,666.0,77.0,957.0
Quindio,574.0,278.0,15.0,281.0
Risaralda,3177.0,1202.0,56.0,1919.0
San Andres y Providencia,63.0,34.0,0.0,29.0
Santander,8578.0,2812.0,329.0,5437.0
Sucre,8128.0,5088.0,409.0,2631.0
Tolima,4096.0,2082.0,94.0,1920.0
Valle del Cauca,35435.0,20889.0,1321.0,13225.0
Vaupes,137.0,60.0,1.0,76.0
Vichada,6.0,2.0,0.0,4.0
