Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2701.0,2559.0,111.0,31.0
Antioquia,80996.0,61466.0,1694.0,17836.0
Arauca,925.0,673.0,17.0,235.0
Atlantico,64128.0,57951.0,2900.0,3277.0
Bogota,211300.0,151131.0,5437.0,54732.0
Bolivar,25267.0,22292.0,702.0,2273.0
Boyaca,3824.0,2326.0,78.0,1420.0
Caldas,2964.0,1705.0,56.0,1203.0
Caqueta,6067.0,4122.0,197.0,1748.0
Casanare,1060.0,705.0,24.0,331.0
Cauca,5285.0,3382.0,158.0,1745.0
Cesar,10815.0,6242.0,296.0,4277.0
Choco,3722.0,3297.0,136.0,289.0
Cordoba,19738.0,14991.0,1303.0,3444.0
Cundinamarca,23128.0,16499.0,659.0,5970.0
Guainia,140.0,17.0,2.0,121.0
Guaviare,273.0,220.0,1.0,52.0
Huila,5167.0,2980.0,137.0,2050.0
La Guajira,5139.0,3779.0,231.0,1129.0
Magdalena,12460.0,9643.0,682.0,2135.0
Meta,8963.0,6057.0,200.0,2706.0
Narino,14086.0,11132.0,513.0,2441.0
Norte de Santander,11850.0,7689.0,641.0,3520.0
Putumayo,2895.0,2031.0,133.0,731.0
Quindio,1316.0,721.0,38.0,557.0
Risaralda,6225.0,3815.0,108.0,2302.0
San Andres y Providencia,219.0,104.0,1.0,114.0
Santander,18211.0,10981.0,774.0,6456.0
Sucre,11709.0,9493.0,491.0,1725.0
Tolima,7216.0,4824.0,184.0,2208.0
Valle del Cauca,46944.0,36479.0,1756.0,8709.0
Vaupes,340.0,149.0,1.0,190.0
Vichada,95.0,20.0,2.0,73.0
