Departamento,confirmado,recuperados,defunciones
Amazonas,2259.0,1894.0,88.0
Antioquia,4089.0,1521.0,25.0
Arauca,76.0,3.0,0.0
Atlantico,22049.0,6686.0,1064.0
Bogota,27927.0,11955.0,633.0
Bolivar,8792.0,4134.0,342.0
Boyaca,355.0,213.0,11.0
Caldas,254.0,165.0,7.0
Caqueta,35.0,22.0,1.0
Casanare,66.0,36.0,0.0
Cauca,352.0,148.0,14.0
Cesar,946.0,376.0,22.0
Choco,1421.0,412.0,41.0
Cordoba,642.0,200.0,36.0
Cundinamarca,2520.0,1287.0,55.0
Guainia,14.0,2.0,1.0
Guaviare,37.0,6.0,0.0
Huila,325.0,244.0,10.0
La Guajira,359.0,78.0,14.0
Magdalena,1752.0,729.0,109.0
Meta,1220.0,966.0,13.0
Narino,3184.0,1754.0,104.0
Norte de Santander,323.0,156.0,19.0
Putumayo,22.0,9.0,6.0
Quindio,160.0,115.0,4.0
Risaralda,508.0,279.0,12.0
San Andres y Providencia,24.0,17.0,0.0
Santander,646.0,168.0,13.0
Sucre,1092.0,98.0,49.0
Tolima,823.0,308.0,19.0
Valle del Cauca,9468.0,4286.0,394.0
Vaupes,28.0,12.0,0.0
Vichada,1.0,1.0,0.0
