id_estado,confirmado,defunciones,estado
2,2764.0,460.0,Baja California
27,1976.0,256.0,Tabasco
15,6813.0,611.0,Mexico
25,1620.0,246.0,Sinaloa
9,10946.0,864.0,Ciudad de Mexico
24,338.0,19.0,San Luis Potosi
14,699.0,61.0,Jalisco
26,642.0,38.0,Sonora
19,717.0,38.0,Nuevo Leon
21,1213.0,169.0,Puebla
23,1177.0,222.0,Quintana Roo
31,924.0,53.0,Yucatan
16,678.0,71.0,Michoacan
28,799.0,48.0,Tamaulipas
13,637.0,103.0,Hidalgo
5,616.0,53.0,Coahuila
1,398.0,14.0,Aguascalientes
32,168.0,21.0,Zacatecas
30,1574.0,167.0,Veracruz
11,580.0,55.0,Guanajuato
8,768.0,151.0,Chihuahua
12,670.0,85.0,Guerrero
18,252.0,24.0,Nayarit
20,291.0,55.0,Oaxaca
6,46.0,7.0,Colima
7,450.0,31.0,Chiapas
3,409.0,24.0,Baja California Sur
29,438.0,72.0,Tlaxcala
17,915.0,135.0,Morelos
22,315.0,24.0,Queretaro
10,127.0,15.0,Durango
4,226.0,28.0,Campeche
