Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2399.0,2110.0,100.0,189.0
Antioquia,7825.0,2577.0,67.0,5181.0
Arauca,135.0,8.0,0.0,127.0
Atlantico,30617.0,11980.0,1697.0,16940.0
Bogota,42347.0,16217.0,959.0,25171.0
Bolivar,11459.0,6104.0,430.0,4925.0
Boyaca,460.0,259.0,13.0,188.0
Caldas,289.0,209.0,7.0,73.0
Caqueta,81.0,23.0,1.0,57.0
Casanare,97.0,50.0,1.0,46.0
Cauca,653.0,201.0,23.0,429.0
Cesar,1382.0,704.0,33.0,645.0
Choco,2079.0,850.0,63.0,1166.0
Cordoba,1432.0,312.0,123.0,997.0
Cundinamarca,3643.0,1800.0,73.0,1770.0
Guainia,14.0,11.0,1.0,2.0
Guaviare,42.0,14.0,0.0,28.0
Huila,403.0,285.0,13.0,105.0
La Guajira,818.0,160.0,43.0,615.0
Magdalena,2543.0,967.0,170.0,1406.0
Meta,1432.0,1024.0,17.0,391.0
Narino,4275.0,2445.0,128.0,1702.0
Norte de Santander,434.0,208.0,23.0,203.0
Putumayo,41.0,10.0,8.0,23.0
Quindio,188.0,137.0,5.0,46.0
Risaralda,709.0,359.0,20.0,330.0
San Andres y Providencia,28.0,21.0,0.0,7.0
Santander,1159.0,325.0,23.0,811.0
Sucre,2273.0,333.0,133.0,1807.0
Tolima,1297.0,464.0,25.0,808.0
Valle del Cauca,13389.0,6083.0,514.0,6792.0
Vaupes,29.0,21.0,1.0,7.0
Vichada,1.0,1.0,0.0,0.0
