Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2741.0,2610.0,117.0,14.0
Antioquia,108353.0,93339.0,2285.0,12729.0
Arauca,1613.0,1277.0,40.0,296.0
Atlantico,66938.0,62449.0,3042.0,1447.0
Bogota,259008.0,221533.0,6611.0,30864.0
Bolivar,28374.0,26609.0,763.0,1002.0
Boyaca,6664.0,5031.0,131.0,1502.0
Caldas,5239.0,3795.0,116.0,1328.0
Caqueta,8036.0,6889.0,282.0,865.0
Casanare,2012.0,1395.0,41.0,576.0
Cauca,8790.0,6956.0,241.0,1593.0
Cesar,18129.0,14346.0,536.0,3247.0
Choco,3975.0,3669.0,155.0,151.0
Cordoba,23366.0,20158.0,1510.0,1698.0
Cundinamarca,32080.0,27107.0,942.0,4031.0
Guainia,736.0,511.0,11.0,214.0
Guaviare,688.0,532.0,11.0,145.0
Huila,10451.0,7650.0,315.0,2486.0
La Guajira,7689.0,6373.0,289.0,1027.0
Magdalena,14864.0,12742.0,810.0,1312.0
Meta,15111.0,12679.0,386.0,2046.0
Narino,17825.0,15343.0,665.0,1817.0
Norte de Santander,15001.0,12578.0,861.0,1562.0
Putumayo,3695.0,3170.0,165.0,360.0
Quindio,2988.0,2009.0,90.0,889.0
Risaralda,10399.0,8038.0,225.0,2136.0
San Andres y Providencia,1079.0,510.0,11.0,558.0
Santander,29109.0,22733.0,1223.0,5153.0
Sucre,13867.0,12566.0,570.0,731.0
Tolima,11593.0,9327.0,300.0,1966.0
Valle del Cauca,59212.0,50029.0,2169.0,7014.0
Vaupes,733.0,600.0,7.0,126.0
Vichada,465.0,408.0,4.0,53.0
