id_estado,estado,confirmado,defunciones
27,Tabasco,7817.0,836.0
30,Veracruz,7588.0,1224.0
9,Ciudad de Mexico,41007.0,4361.0
16,Michoacan,4283.0,355.0
29,Tlaxcala,1936.0,260.0
2,Baja California,7559.0,1646.0
13,Hidalgo,3127.0,496.0
15,Mexico,26721.0,3448.0
23,Quintana Roo,2795.0,507.0
17,Morelos,2069.0,366.0
25,Sinaloa,6328.0,983.0
26,Sonora,4779.0,405.0
11,Guanajuato,4563.0,232.0
14,Jalisco,4791.0,428.0
28,Tamaulipas,3843.0,247.0
21,Puebla,7049.0,894.0
31,Yucatan,2984.0,316.0
19,Nuevo Leon,3478.0,231.0
12,Guerrero,4029.0,701.0
8,Chihuahua,2482.0,538.0
1,Aguascalientes,1757.0,98.0
7,Chiapas,3617.0,374.0
22,Queretaro,1643.0,203.0
3,Baja California Sur,1128.0,65.0
10,Durango,1234.0,104.0
5,Coahuila,2626.0,151.0
6,Colima,353.0,39.0
18,Nayarit,1216.0,140.0
20,Oaxaca,3771.0,431.0
32,Zacatecas,642.0,75.0
4,Campeche,1207.0,138.0
24,San Luis Potosi,2063.0,102.0
