Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2513.0,2348.0,102.0,63.0
Antioquia,38026.0,11859.0,593.0,25574.0
Arauca,240.0,142.0,3.0,95.0
Atlantico,53835.0,39712.0,2565.0,11558.0
Bogota,109153.0,51123.0,2910.0,55120.0
Bolivar,18861.0,13876.0,596.0,4389.0
Boyaca,1154.0,527.0,30.0,597.0
Caldas,1023.0,317.0,13.0,693.0
Caqueta,1276.0,248.0,29.0,999.0
Casanare,328.0,134.0,5.0,189.0
Cauca,2042.0,889.0,68.0,1085.0
Cesar,3504.0,1652.0,68.0,1784.0
Choco,3055.0,2218.0,104.0,733.0
Cordoba,6437.0,2153.0,688.0,3596.0
Cundinamarca,9545.0,4781.0,256.0,4508.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,110.0,55.0,0.0,55.0
Huila,986.0,453.0,27.0,506.0
La Guajira,2198.0,1227.0,127.0,844.0
Magdalena,6749.0,3718.0,374.0,2657.0
Meta,2919.0,1860.0,40.0,1019.0
Narino,8185.0,4755.0,269.0,3161.0
Norte de Santander,2677.0,736.0,125.0,1816.0
Putumayo,1033.0,196.0,40.0,797.0
Quindio,378.0,210.0,8.0,160.0
Risaralda,1963.0,770.0,32.0,1161.0
San Andres y Providencia,42.0,30.0,0.0,12.0
Santander,4188.0,1399.0,124.0,2665.0
Sucre,6115.0,3355.0,377.0,2383.0
Tolima,2768.0,1617.0,55.0,1096.0
Valle del Cauca,26270.0,14812.0,1020.0,10438.0
Vaupes,61.0,53.0,1.0,7.0
Vichada,3.0,1.0,0.0,2.0
