Departamento,confirmado,recuperados,defunciones
Amazonas,2126.0,1306.0,77.0
Antioquia,2022.0,769.0,9.0
Arauca,2.0,1.0,0.0
Atlantico,9837.0,2785.0,397.0
Bogota,16037.0,6828.0,382.0
Bolivar,5146.0,1668.0,211.0
Boyaca,246.0,157.0,9.0
Caldas,196.0,130.0,7.0
Caqueta,25.0,21.0,1.0
Casanare,38.0,33.0,0.0
Cauca,186.0,73.0,8.0
Cesar,542.0,83.0,15.0
Choco,694.0,139.0,20.0
Cordoba,277.0,79.0,13.0
Cundinamarca,1685.0,518.0,41.0
Guainia,7.0,0.0,1.0
Guaviare,3.0,0.0,0.0
Huila,274.0,233.0,9.0
La Guajira,129.0,50.0,7.0
Magdalena,946.0,441.0,61.0
Meta,1015.0,939.0,11.0
Narino,2150.0,723.0,74.0
Putumayo,13.0,5.0,2.0
Quindío,126.0,100.0,4.0
Risaralda,323.0,235.0,11.0
San Andres y Providencia,18.0,17.0,0.0
Santander,394.0,164.0,22.0
Sucre,239.0,8.0,8.0
Tolima,385.0,208.0,13.0
Valle del Cauca,5830.0,2097.0,254.0
Vaupes,27.0,11.0,0.0
Vichada,1.0,1.0,0.0
