Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2728.0,2597.0,115.0,16.0
Antioquia,100831.0,84515.0,2145.0,14171.0
Arauca,1404.0,1065.0,32.0,307.0
Atlantico,66296.0,61509.0,3002.0,1785.0
Bogota,247233.0,200757.0,6335.0,40141.0
Bolivar,27800.0,25162.0,752.0,1886.0
Boyaca,5763.0,4172.0,113.0,1478.0
Caldas,4380.0,3046.0,97.0,1237.0
Caqueta,7387.0,6438.0,269.0,680.0
Casanare,1690.0,1152.0,39.0,499.0
Cauca,7866.0,6108.0,219.0,1539.0
Cesar,16649.0,12324.0,475.0,3850.0
Choco,3900.0,3630.0,152.0,118.0
Cordoba,22452.0,19242.0,1473.0,1737.0
Cundinamarca,29851.0,24606.0,879.0,4366.0
Guainia,500.0,228.0,10.0,262.0
Guaviare,588.0,382.0,10.0,196.0
Huila,8756.0,6018.0,261.0,2477.0
La Guajira,7057.0,5575.0,272.0,1210.0
Magdalena,14259.0,11949.0,780.0,1530.0
Meta,13518.0,11004.0,353.0,2161.0
Narino,16531.0,13989.0,627.0,1915.0
Norte de Santander,14112.0,11485.0,816.0,1811.0
Putumayo,3502.0,2971.0,158.0,373.0
Quindio,2368.0,1495.0,73.0,800.0
Risaralda,9105.0,6730.0,188.0,2187.0
San Andres y Providencia,697.0,316.0,9.0,372.0
Santander,26296.0,19877.0,1118.0,5301.0
Sucre,13417.0,11898.0,549.0,970.0
Tolima,10332.0,7898.0,270.0,2164.0
Valle del Cauca,55696.0,46660.0,2065.0,6971.0
Vaupes,642.0,446.0,5.0,191.0
Vichada,339.0,213.0,4.0,122.0
