Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2466.0,2279.0,101.0,86.0
Antioquia,19751.0,5070.0,239.0,14442.0
Arauca,173.0,86.0,1.0,86.0
Atlantico,45948.0,27095.0,2265.0,16588.0
Bogota,70849.0,27281.0,1794.0,41774.0
Bolivar,15714.0,10249.0,516.0,4949.0
Boyaca,694.0,354.0,22.0,318.0
Caldas,510.0,253.0,7.0,250.0
Caqueta,476.0,52.0,7.0,417.0
Casanare,189.0,83.0,3.0,103.0
Cauca,1309.0,437.0,37.0,835.0
Cesar,2225.0,1178.0,42.0,1005.0
Choco,2713.0,1594.0,83.0,1036.0
Cordoba,3173.0,773.0,357.0,2043.0
Cundinamarca,6358.0,2972.0,150.0,3236.0
Guainia,14.0,13.0,1.0,0.0
Guaviare,51.0,39.0,0.0,12.0
Huila,590.0,360.0,17.0,213.0
La Guajira,1662.0,536.0,92.0,1034.0
Magdalena,4618.0,1988.0,277.0,2353.0
Meta,2076.0,1372.0,26.0,678.0
Narino,5992.0,3371.0,179.0,2442.0
Norte de Santander,1130.0,307.0,42.0,781.0
Putumayo,386.0,18.0,18.0,350.0
Quindio,223.0,170.0,6.0,47.0
Risaralda,1111.0,546.0,22.0,543.0
San Andres y Providencia,31.0,23.0,0.0,8.0
Santander,2134.0,752.0,54.0,1328.0
Sucre,4726.0,1492.0,258.0,2976.0
Tolima,1909.0,1102.0,34.0,773.0
Valle del Cauca,19164.0,9739.0,722.0,8703.0
Vaupes,61.0,28.0,1.0,32.0
Vichada,2.0,1.0,0.0,1.0
