Departamento,confirmado,recuperados,defunciones
Amazonas,1992.0,1002.0,72.0
Antioquia,1518.0,575.0,7.0
Arauca,2.0,1.0,0.0
Atlantico,6498.0,1897.0,211.0
Bogota,12880.0,5402.0,313.0
Bolivar,4128.0,1221.0,177.0
Boyaca,223.0,131.0,9.0
Caldas,175.0,117.0,7.0
Caqueta,25.0,20.0,1.0
Casanare,36.0,29.0,0.0
Cauca,155.0,62.0,6.0
Cesar,428.0,70.0,11.0
Choco,412.0,73.0,10.0
Cordoba,221.0,66.0,10.0
Cundinamarca,1227.0,351.0,30.0
Guainia,6.0,0.0,0.0
Guaviare,1.0,0.0,0.0
Huila,255.0,220.0,9.0
La Guajira,108.0,44.0,5.0
Magdalena,753.0,372.0,46.0
Meta,990.0,926.0,10.0
Narino,1629.0,472.0,62.0
Putumayo,11.0,3.0,2.0
Quindío,121.0,94.0,3.0
Risaralda,278.0,231.0,10.0
San Andres y Providencia,17.0,15.0,0.0
Santander,298.0,154.0,19.0
Sucre,126.0,5.0,2.0
Tolima,287.0,175.0,8.0
Valle del Cauca,4424.0,1583.0,219.0
Vaupes,11.0,11.0,0.0
Vichada,1.0,0.0,0.0
