Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2725.0,2591.0,115.0,19.0
Antioquia,95642.0,82139.0,2072.0,11431.0
Arauca,1304.0,1018.0,28.0,258.0
Atlantico,65787.0,61269.0,2976.0,1542.0
Bogota,240287.0,195179.0,6178.0,38930.0
Bolivar,27158.0,24893.0,742.0,1523.0
Boyaca,5246.0,4007.0,107.0,1132.0
Caldas,4010.0,2853.0,86.0,1071.0
Caqueta,7308.0,6270.0,258.0,780.0
Casanare,1536.0,1091.0,33.0,412.0
Cauca,7283.0,5824.0,212.0,1247.0
Cesar,15745.0,11442.0,437.0,3866.0
Choco,3864.0,3580.0,147.0,137.0
Cordoba,22102.0,19045.0,1456.0,1601.0
Cundinamarca,28519.0,23873.0,829.0,3817.0
Guainia,348.0,212.0,9.0,127.0
Guaviare,474.0,313.0,4.0,157.0
Huila,7864.0,5694.0,234.0,1936.0
La Guajira,6640.0,5388.0,264.0,988.0
Magdalena,13842.0,11752.0,761.0,1329.0
Meta,12592.0,10483.0,320.0,1789.0
Narino,16089.0,13691.0,607.0,1791.0
Norte de Santander,13652.0,11156.0,793.0,1703.0
Putumayo,3362.0,2891.0,154.0,317.0
Quindio,2066.0,1373.0,62.0,631.0
Risaralda,8424.0,6491.0,174.0,1759.0
San Andres y Providencia,586.0,264.0,7.0,315.0
Santander,24727.0,18943.0,1058.0,4726.0
Sucre,13217.0,11727.0,543.0,947.0
Tolima,9644.0,7587.0,238.0,1819.0
Valle del Cauca,53426.0,45746.0,2013.0,5667.0
Vaupes,589.0,401.0,3.0,185.0
Vichada,261.0,199.0,4.0,58.0
