Departamento,confirmado,recuperados,defunciones,activos
Amazonas,2703.0,2563.0,110.0,30.0
Antioquia,83248.0,64922.0,1784.0,16542.0
Arauca,985.0,743.0,18.0,224.0
Atlantico,64357.0,58574.0,2917.0,2866.0
Bogota,216654.0,159074.0,5593.0,51987.0
Bolivar,25530.0,22504.0,716.0,2310.0
Boyaca,4049.0,2578.0,81.0,1390.0
Caldas,3088.0,1906.0,61.0,1121.0
Caqueta,6307.0,4346.0,207.0,1754.0
Casanare,1129.0,756.0,24.0,349.0
Cauca,5649.0,3574.0,166.0,1909.0
Cesar,11797.0,6813.0,325.0,4659.0
Choco,3750.0,3327.0,138.0,285.0
Cordoba,20059.0,15339.0,1353.0,3367.0
Cundinamarca,24384.0,17474.0,691.0,6219.0
Guainia,164.0,22.0,5.0,137.0
Guaviare,297.0,221.0,4.0,72.0
Huila,5521.0,3181.0,149.0,2191.0
La Guajira,5448.0,3876.0,238.0,1334.0
Magdalena,12649.0,9999.0,695.0,1955.0
Meta,9765.0,6399.0,223.0,3143.0
Narino,14446.0,11414.0,542.0,2490.0
Norte de Santander,12168.0,8075.0,678.0,3415.0
Putumayo,3039.0,2088.0,139.0,812.0
Quindio,1405.0,788.0,42.0,575.0
Risaralda,6635.0,4228.0,120.0,2287.0
San Andres y Providencia,273.0,117.0,3.0,153.0
Santander,19674.0,11710.0,821.0,7143.0
Sucre,11939.0,9600.0,503.0,1836.0
Tolima,7617.0,5069.0,193.0,2355.0
Valle del Cauca,48127.0,38093.0,1805.0,8229.0
Vaupes,362.0,172.0,1.0,189.0
Vichada,121.0,23.0,3.0,95.0
